Date,Price,Open,High,Low,Vol.,Change %
2022-10-05,0.9065,0.9065,0.9065,0.9065,,0.03%
2022-10-04,0.9062,0.9065,0.9066,0.9065,9.00K,0.01%
2022-10-03,0.9062,0.9065,0.9066,0.9065,,0.00%
2022-09-30,0.9062,0.9076,0.909,0.9023,15.73K,-0.08%
2022-09-29,0.9069,0.9174,0.9186,0.9074,15.01K,-1.11%
2022-09-28,0.9172,0.9144,0.9237,0.9144,16.88K,0.33%
2022-09-27,0.9141,0.9088,0.9145,0.9087,16.28K,0.63%
2022-09-26,0.9084,0.9081,0.9132,0.9081,13.65K,0.06%
2022-09-23,0.9079,0.9017,0.9084,0.9017,16.20K,0.70%
2022-09-22,0.9016,0.898,0.904,0.8979,17.28K,0.42%
2022-09-21,0.8978,0.8941,0.8987,0.8941,15.46K,0.43%
2022-09-20,0.894,0.8927,0.8945,0.8924,18.95K,0.17%
2022-09-19,0.8924,0.8892,0.8944,0.8892,17.15K,0.36%
2022-09-16,0.8892,0.8911,0.8951,0.8892,16.04K,-0.20%
2022-09-15,0.891,0.887,0.8915,0.8869,19.69K,0.46%
2022-09-14,0.8868,0.8823,0.8884,0.8822,17.07K,0.54%
2022-09-13,0.8821,0.8825,0.8834,0.8816,15.81K,-0.01%
2022-09-12,0.8822,0.8825,0.8825,0.8824,8.87K,0.00%
2022-09-09,0.8821,0.8864,0.8864,0.8813,18.78K,-0.46%
2022-09-08,0.8862,0.8874,0.888,0.8852,17.00K,-0.12%
2022-09-07,0.8873,0.886,0.8892,0.8859,15.41K,0.17%
2022-09-06,0.8858,0.8834,0.8874,0.8829,15.85K,0.29%
2022-09-05,0.8832,0.8791,0.8846,0.879,16.21K,0.50%
2022-09-02,0.8788,0.8801,0.8803,0.879,17.49K,-0.13%
2022-09-01,0.88,0.8779,0.8802,0.8778,21.35K,0.26%
2022-08-31,0.8777,0.8806,0.881,0.8776,19.67K,-0.31%
2022-08-30,0.8804,0.8803,0.882,0.8791,19.38K,0.03%
2022-08-29,0.8801,0.8758,0.8821,0.8756,17.46K,0.50%
2022-08-26,0.8757,0.8729,0.876,0.8727,18.50K,0.34%
2022-08-25,0.8727,0.8742,0.8744,0.8723,22.26K,-0.15%
2022-08-24,0.874,0.871,0.8755,0.8709,21.59K,0.37%
2022-08-23,0.8708,0.8728,0.8751,0.8706,20.03K,-0.22%
2022-08-22,0.8727,0.8688,0.8731,0.8687,21.15K,0.44%
2022-08-19,0.8688,0.8651,0.8692,0.8649,19.30K,0.45%
2022-08-18,0.865,0.8645,0.8664,0.8639,23.84K,0.06%
2022-08-17,0.8644,0.8657,0.8662,0.8636,23.79K,-0.14%
2022-08-16,0.8656,0.8642,0.8669,0.8641,30.23K,0.19%
2022-08-15,0.864,0.8602,0.8645,0.8601,21.27K,0.41%
2022-08-12,0.8605,0.8598,0.8611,0.8592,34.71K,0.08%
2022-08-11,0.8597,0.8569,0.86,0.8568,28.87K,0.35%
2022-08-10,0.8568,0.8602,0.8615,0.8567,33.21K,-0.40%
2022-08-09,0.8602,0.86,0.861,0.8599,14.80K,0.03%
2022-08-08,0.8599,0.8614,0.8618,0.8599,13.51K,-0.15%
2022-08-05,0.8612,0.8598,0.8615,0.8588,14.08K,0.18%
2022-08-04,0.8597,0.8608,0.8611,0.8595,15.88K,-0.12%
2022-08-03,0.8607,0.8602,0.8611,0.8593,13.86K,0.10%
2022-08-02,0.8598,0.8623,0.864,0.8597,14.95K,-0.26%
